id,type,topic,question_text,model_answer,explanation,created_at,options,pairs
sa1,short-answer,systems-architecture,"Outline the key steps involved in the CPU's fetch-decode-execute cycle.","1) The CPU uses the Program Counter to locate the next instruction.
2) The instruction is fetched from memory and decoded by the Control Unit.
3) The decoded instruction is then executed, potentially involving data processing by the ALU.",,2025-05-05T00:00:00Z,,
sa2,matching,systems-architecture,"Match each CPU register to its primary function:","Holds the address of the next instruction to fetch
Stores the memory location to be accessed
Temporarily stores data being transferred to or from memory
Stores results from the ALU operations","Registers store temporary data or addresses that are used during instruction processing. Each has a distinct role in keeping the CPU operating efficiently.",2025-05-05T00:00:00Z,,"Program Counter (PC):Holds the address of the next instruction to fetch|Memory Address Register (MAR):Stores the memory location to be accessed|Memory Data Register (MDR):Temporarily stores data being transferred to or from memory|Accumulator (ACC):Stores results from the ALU operations"
sa3,short-answer,systems-architecture,"Identify three CPU characteristics that influence processing speed.","1) Clock speed
2) Cache memory size
3) Number of processing cores",,2025-05-05T00:00:00Z,,
sa4,short-answer,systems-architecture,"Why is a car's cruise control considered an embedded system?","It performs one specific task (maintaining vehicle speed), is built into the vehicle, and operates with its own microcontroller and software that can't be easily changed.",,2025-05-05T00:00:00Z,,
sa5,short-answer,systems-architecture,"Provide an example of an embedded system found in vehicles and explain its purpose.","Example: Parking sensors.
Explanation: These detect nearby obstacles and alert the driver. The system is purpose-built and works automatically using embedded software.",,2025-05-05T00:00:00Z,,
sa6,matching,systems-architecture,"Match the CPU component to what it does:","Tracks the address of the instruction to be fetched next
Controls the timing and flow of instructions in the CPU
Holds the address in memory to read from or write to
Carries out calculations and logical operations","These components each contribute to processing data and instructions. The CU manages flow, the ALU handles logic, and registers help manage addresses and results.",2025-05-05T00:00:00Z,,"Program Counter:Tracks the address of the instruction to be fetched next|Control Unit:Controls the timing and flow of instructions in the CPU|Memory Address Register:Holds the address in memory to read from or write to|Arithmetic Logic Unit:Carries out calculations and logical operations"
sa7,true-false,systems-architecture,"The CPU's cache stores frequently used instructions and data to reduce access times.","true","True – Cache memory holds recently accessed data or instructions so the CPU can reuse them quickly without fetching from slower main memory.",2025-05-05T00:00:00Z,,
sa8,multiple-choice,systems-architecture,"Which of the following changes is most likely to speed up a CPU's performance?","Using a higher clock speed","Increasing clock speed means the CPU can execute more instructions per second, improving performance for most tasks.",2025-05-05T00:00:00Z,"Reducing the number of cores|Lowering the cache size|Using a higher clock speed|Running fewer background apps",
sa9,multiple-choice,systems-architecture,"Which component in the CPU is responsible for handling logical operations such as AND, OR, and NOT?","Arithmetic Logic Unit","The ALU is responsible for performing arithmetic and logical operations like AND, OR, and NOT.",2025-05-05T00:00:00Z,"Control Unit|Cache|Accumulator|Arithmetic Logic Unit",
sa10,true-false,systems-architecture,"The Program Counter holds data being processed in the CPU.","false","False – the Program Counter holds the memory address of the next instruction to fetch, not the data being processed.",2025-05-05T00:00:00Z,,
sa11,multiple-choice,systems-architecture,"Which of these is an embedded system in a home environment?","Smart light switch","A smart light switch is an embedded system designed for a specific task: controlling lighting, usually with minimal hardware and limited software.",2025-05-05T00:00:00Z,"Smart light switch|Web browser|Laptop|Spreadsheet software",
