id,type,topic,question_text,model_answer,explanation,created_at,options,pairs,correctAnswerIndex
a1,code,algorithms,"A teacher wants to search through a list of student names to see if a particular student is in the class. Write an algorithm that uses a linear search to do this.","function searchStudent(name)\n  for i = 0 to classList.length - 1\n    if classList[i] == name then\n      return True\n    endif\n  next i\n  return False\nendfunction",,2025-05-08T00:00:00Z,,,
a2,code,algorithms,"Write an algorithm to check if a temperature value entered by a user is within the valid range of -10 to 50 degrees. Output VALID or NOT VALID.","temp = input(\"Enter temperature\")\nif temp >= -10 and temp <= 50 then\n  print(\"VALID\")\nelse\n  print(\"NOT VALID\")\nendif",,2025-05-08T00:00:00Z,,,
a3,code,algorithms,"Write an algorithm that asks a user to input numbers until the total goes over 100. After each number is entered, output the running total.","total = 0\nwhile total <= 100\n  number = input(\"Enter a number\")\n  total = total + number\n  print(total)\nendwhile",,2025-05-08T00:00:00Z,,,
a4,short-answer,algorithms,"Give one reason why an algorithm might use a loop.","To repeat a set of instructions multiple times, such as checking each item in a list.",,2025-05-08T00:00:00Z,,,
a5,short-answer,algorithms,"Define the term abstraction in the context of algorithm design.","Abstraction means removing unnecessary detail to focus on the important parts of a problem.",,2025-05-08T00:00:00Z,,,
a6,short-answer,algorithms,"State the most appropriate data type for each of the following:\n\na) The number of books in a school library\nb) Whether a student is present or absent\nc) The title of a book\n","a) Integer\nb) Boolean\nc) String",,2025-05-08T00:00:00Z,,,
a7,short-answer,algorithms,"State the most appropriate data type for each of the following:\n\na) The average score in a maths test\nb) A student's home address\nc) Whether a light is on or off","a) Real\nb) String\nc) Boolean",,2025-05-08T00:00:00Z,,,
a8,short-answer,algorithms,"State the most appropriate data type for each of the following:\n\na) A person's shoe size (e.g. 7, 8.5)\nb) A list of usernames\nc) Whether a password is correct or not","a) Real\nb) Array (of Strings)\nc) Boolean",,2025-05-08T00:00:00Z,,,
a9,short-answer,algorithms,"State the most appropriate data type for each of the following:\n\na) The number of minutes in a video\nb) The title of the video\nc) Whether subtitles are enabled","a) Integer\nb) String\nc) Boolean",,2025-05-08T00:00:00Z,,,
a10,short-answer,algorithms,"A program asks users to enter their age (between 1 and 100). Give one example of:\n\na) A normal test value\nb) A boundary test value\nc) An erroneous test value","a) 25 (normal)\nb) 1 or 100 (boundary)\nc) -5 or 'abc' (erroneous)",,2025-05-08T00:00:00Z,,,
a11,short-answer,algorithms,"A program accepts integers between 10 and 20 inclusive. Give three suitable test inputs and state what type of test each one is.","10 (boundary), 15 (normal), 25 (erroneous)",,2025-05-08T00:00:00Z,,,
a12,short-answer,algorithms,"State why it is important to include boundary test data when testing a program.","To check that the program correctly handles values at the edge of the acceptable input range.",,2025-05-08T00:00:00Z,,,
a13,short-answer,algorithms,"What is meant by the term erroneous test data?","Test data that is outside the valid range or the wrong data type, used to check that the program handles errors correctly.",,2025-05-08T00:00:00Z,,,
a14,short-answer,algorithms,"A table called `Students` contains the fields `FirstName`, `LastName`, `Age`, and `FormGroup`.\n\nWrite an SQL statement to display all records for students in form group '10A'.","SELECT * FROM Students WHERE FormGroup = '10A';",,2025-05-08T00:00:00Z,,,
a15,short-answer,algorithms,"The table `Books` contains the fields `Title`, `Author`, and `YearPublished`.\n\nWrite an SQL query to show the `Title` and `Author` of books published after the year 2010.","SELECT Title, Author FROM Books WHERE YearPublished > 2010;",,2025-05-08T00:00:00Z,,,
a16,short-answer,algorithms,"A table named `Orders` has the fields `OrderID`, `CustomerName`, and `TotalAmount`.\n\nWrite an SQL query to display only orders with a `TotalAmount` greater than 100.","SELECT * FROM Orders WHERE TotalAmount > 100;",,2025-05-08T00:00:00Z,,,
